Violenza;Presenza.Altri;Risposta;Valore
Violenza Fisica;Sì;Nessuno è intervenuto;595
Violenza Fisica;Sì;Qualcuno è intervenuto ma la situazione è peggiorata;77
Violenza Fisica;Sì;Qualcuno è intervenuto e la situazione è migliorata;594
Violenza Fisica;Sì;Nessuno se ne è accorto;87
Violenza Fisica;Sì;Non sa/Non risponde;24
Violenza Fisica;No;No;1553
Violenza Sessuale;Sì;Nessuno è intervenuto;279
Violenza Sessuale;Sì;Qualcuno è intervenuto ma la situazione è peggiorata;37
Violenza Sessuale;Sì;Qualcuno è intervenuto e la situazione è migliorata;175
Violenza Sessuale;Sì;Nessuno se ne è accorto;281
Violenza Sessuale;Sì;Non sa/Non risponde;12
Violenza Sessuale;No;No;3448
Stupro/Tentato;Sì;Nessuno è intervenuto;60
Stupro/Tentato;Sì;Qualcuno è intervenuto ma la situazione è peggiorata;3
Stupro/Tentato;Sì;Qualcuno è intervenuto e la situazione è migliorata;29
Stupro/Tentato;Sì;Nessuno se ne è accorto;48
Stupro/Tentato;Sì;Non sa/Non risponde;3
Stupro/Tentato;No;No;670
